rank,product,metric,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
6,Biscoff Jar Cake,totalValue,Prophet,2134.9737147780406,2401.0397499014994,46.486986509531114,23959.86,20250.54115302018,-15.481387816872966
6,Biscoff Jar Cake,totalValue,AutoARIMA,1263.346625789324,1491.4220560729004,26.749739580470255,23959.86,28071.872541627592,17.162089184275665
6,Biscoff Jar Cake,totalValue,AutoETS,1512.9120913036113,1592.6428411226414,31.29748043579072,23959.86,27345.409553989157,14.130089048889086
6,Biscoff Jar Cake,totalValue,Croston,1513.378374118212,1592.883760784919,31.30598923562524,23959.86,27341.4593529553,14.11360230383357
6,Biscoff Jar Cake,totalValue,LightGBM,1634.3197213135588,2290.2295551930033,31.340112520947294,23959.86,29639.980496814685,23.70681839048594
6,Biscoff Jar Cake,totalValue,mean_all,1541.6803317975857,1698.470460915003,31.418883692371182,23959.86,26529.852619681384,10.726242222122263
6,Biscoff Jar Cake,totalValue,median_all,1461.2799673669906,1593.059083323756,30.19801200637737,23959.86,27082.205833739266,13.031569607415342
6,Biscoff Jar Cake,totalValue,mean_no_prophet,1480.9892031311767,1693.3542099648237,30.425305972679695,23959.86,28099.680486346682,17.27814973187106
6,Biscoff Jar Cake,totalValue,median_no_prophet,1442.3319777424126,1559.6188139723322,29.983852623700653,23959.86,27436.76144354396,14.51135959702586
6,Biscoff Jar Cake,totalValue,mean_classical,1429.8790304037161,1547.781358163442,29.78242357171263,23959.86,27586.247149524017,15.135260178999443
6,Biscoff Jar Cake,totalValue,median_classical,1512.738789646673,1592.4728934347982,31.29438240821374,23959.86,27344.543045704468,14.126472549106994
7,Dream Cake,totalValue,Prophet,1396.680331700468,1724.6805244491177,27.35072343804992,67150.49,75006.01353927032,11.698386027071905
7,Dream Cake,totalValue,AutoARIMA,2253.1041582589105,2604.4959749447657,39.14146213989455,67150.49,95596.9702496142,42.362282463782755
7,Dream Cake,totalValue,AutoETS,2248.4391725733517,2599.865759070507,39.082403028068036,67150.49,95525.2991058997,42.25555034058529
7,Dream Cake,totalValue,Croston,2246.579826513954,2598.021232202656,39.05884850333903,67150.49,95496.73278916893,42.2130095985434
7,Dream Cake,totalValue,LightGBM,1714.1587343411497,2105.7567064556943,32.20178703194387,67150.49,79572.68007545747,18.499031169329456
7,Dream Cake,totalValue,mean_all,1762.5108321503822,2166.8764954808075,32.584774662900976,67150.49,88239.5391518821,31.40565191986252
7,Dream Cake,totalValue,median_all,2247.255952353735,2598.652423984872,39.0675142231536,67150.49,95505.52242508609,42.22609905763321
7,Dream Cake,totalValue,mean_no_prophet,1989.2459721865202,2390.403655954258,35.59993933952832,67150.49,91547.92055503506,36.3324683930602
7,Dream Cake,totalValue,median_no_prophet,2248.399181145238,2599.769994803538,39.08195429504865,67150.49,95522.58180835491,42.251503761707326
7,Dream Cake,totalValue,mean_classical,2249.3743857820723,2600.7937258215934,39.09424723147899,67150.49,95539.6673815609,42.27694746763708
7,Dream Cake,totalValue,median_classical,2248.4391725733517,2599.865759070507,39.082403028068036,67150.49,95525.2991058997,42.25555034058529
8,Tiramisu Cake,totalValue,Prophet,5764.897026624609,5940.2706449245325,81.38322019969438,58747.6,133691.2613461199,127.56889021188931
8,Tiramisu Cake,totalValue,AutoARIMA,1651.8134364550972,1746.528245203369,36.403989739237204,58747.6,67968.19867680734,15.69527721440083
8,Tiramisu Cake,totalValue,AutoETS,1605.7932011208131,1782.8411582641354,35.562054760478205,58747.6,67226.87819788346,14.43340357373486
8,Tiramisu Cake,totalValue,Croston,1608.9176819872,1785.8291985209717,35.61728593643216,58747.6,67332.48565116736,14.613168284606278
8,Tiramisu Cake,totalValue,LightGBM,2799.604414604394,3522.453983903179,50.16515707575107,58747.6,94805.8674984467,61.378281833550155
8,Tiramisu Cake,totalValue,mean_all,2176.6227700498075,2655.0658445958234,43.90763853654365,58747.6,86204.93827408497,46.73780422363632
8,Tiramisu Cake,totalValue,median_all,1691.1721720995947,1842.9772205613467,37.05443819623719,58747.6,70528.48509902327,20.053389583614084
8,Tiramisu Cake,totalValue,mean_no_prophet,1832.9416674832196,2062.220517876142,39.17892361652697,58747.6,74333.35750607622,26.530032726573044
8,Tiramisu Cake,totalValue,median_no_prophet,1649.1075827834816,1804.258427428052,36.34546012191004,58747.6,68902.05259921118,17.284880742721715
8,Tiramisu Cake,totalValue,mean_classical,1622.1747731877035,1754.3016493738062,35.9218519015517,58747.6,67509.1875086194,14.913949690914022
8,Tiramisu Cake,totalValue,median_classical,1607.6678896406452,1783.4207449365865,35.59750677674445,58747.6,67283.74374965174,14.530199956511822
9,Butterscotch Cake,totalValue,Prophet,4159.79991402785,4342.118833983099,89.2500044605001,38161.399999999994,92238.79888236204,141.70706232570623
9,Butterscotch Cake,totalValue,AutoARIMA,3008.301605195995,3210.7629139210962,76.04269107054526,38161.399999999994,75773.58264485202,98.56080396644786
9,Butterscotch Cake,totalValue,AutoETS,2772.8088583432036,3077.719644801472,71.90457789684862,38161.399999999994,73624.12336909106,92.92825569578442
9,Butterscotch Cake,totalValue,Croston,2771.897972630674,3076.76554049988,71.89197702377678,38161.399999999994,73610.12885223489,92.89158377898846
9,Butterscotch Cake,totalValue,LightGBM,3131.760005183792,3421.6551461982813,77.11925170467357,38161.399999999994,78826.79225420307,106.56158383655496
9,Butterscotch Cake,totalValue,mean_all,3127.175784657586,3388.6581755379193,77.14902731869319,38161.399999999994,78814.68520054861,106.52985792069639
9,Butterscotch Cake,totalValue,median_all,3034.452423138235,3290.04924963798,75.87781616299716,38161.399999999994,77025.48971142645,101.84136250616187
9,Butterscotch Cake,totalValue,mean_no_prophet,2921.192110338416,3177.940203639678,74.43953595973205,38161.399999999994,75458.65678009526,97.73555681944393
9,Butterscotch Cake,totalValue,median_no_prophet,2886.760065032826,3152.68563912672,73.87928802699702,38161.399999999994,75104.41255475952,96.80727791632259
9,Butterscotch Cake,totalValue,mean_classical,2851.0028120566235,3109.570338707045,73.39733614730932,38161.399999999994,74335.94495539267,94.79354781374026
