rank,product,metric,week_index,week_start,actual,point,with_safety_30pct,point_err,safety_err
5,Belgium Choco Mousse Cake,totalValue,10,2026-05-18,2393.02,7407.920455658337,9630.296592355839,5014.900455658337,7237.276592355838
5,Belgium Choco Mousse Cake,totalValue,11,2026-05-25,5767.6900000000005,7407.920455658337,9630.296592355839,1640.2304556583367,3862.606592355838
5,Belgium Choco Mousse Cake,totalValue,12,2026-06-01,4642.84,7407.920455658337,9630.296592355839,2765.080455658337,4987.456592355838
5,Belgium Choco Mousse Cake,totalValue,13,2026-06-08,3830.02,7407.920455658337,9630.296592355839,3577.9004556583373,5800.276592355838
5,Belgium Choco Mousse Cake,qty,1,2026-03-16,17.0,25.60622765584482,33.28809595259827,8.606227655844819,16.28809595259827
5,Belgium Choco Mousse Cake,qty,2,2026-03-23,3.0,25.60622765584482,33.28809595259827,22.60622765584482,30.28809595259827
5,Belgium Choco Mousse Cake,qty,3,2026-03-30,14.0,25.60622765584482,33.28809595259827,11.606227655844819,19.28809595259827
5,Belgium Choco Mousse Cake,qty,4,2026-04-06,12.0,25.60622765584482,33.28809595259827,13.606227655844819,21.28809595259827
5,Belgium Choco Mousse Cake,qty,5,2026-04-13,19.0,25.60622765584482,33.28809595259827,6.606227655844819,14.288095952598269
5,Belgium Choco Mousse Cake,qty,6,2026-04-20,20.0,25.60622765584482,33.28809595259827,5.606227655844819,13.288095952598269
5,Belgium Choco Mousse Cake,qty,7,2026-04-27,28.0,25.60622765584482,33.28809595259827,-2.393772344155181,5.288095952598269
5,Belgium Choco Mousse Cake,qty,8,2026-05-04,27.0,25.60622765584482,33.28809595259827,-1.393772344155181,6.288095952598269
5,Belgium Choco Mousse Cake,qty,9,2026-05-11,28.0,25.60622765584482,33.28809595259827,-2.393772344155181,5.288095952598269
5,Belgium Choco Mousse Cake,qty,10,2026-05-18,9.0,25.60622765584482,33.28809595259827,16.60622765584482,24.28809595259827
5,Belgium Choco Mousse Cake,qty,11,2026-05-25,22.0,25.60622765584482,33.28809595259827,3.606227655844819,11.288095952598269
