rank,product,metric,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
7,Dream Cake,qty,Croston,9.048499884813827,11.53140396762061,29.44015411832051,395.0,499.47240732123055,26.44871071423558
8,Tiramisu Cake,totalValue,Prophet,5764.897026624609,5940.2706449245325,81.38322019969438,58747.6,133691.2613461199,127.56889021188931
8,Tiramisu Cake,totalValue,AutoARIMA,1651.8134364550972,1746.528245203369,36.403989739237204,58747.6,67968.19867680734,15.69527721440083
8,Tiramisu Cake,totalValue,AutoETS,1605.7932011208131,1782.8411582641354,35.562054760478205,58747.6,67226.87819788346,14.43340357373486
8,Tiramisu Cake,totalValue,Croston,1608.9176819872,1785.8291985209717,35.61728593643216,58747.6,67332.48565116736,14.613168284606278
8,Tiramisu Cake,qty,Prophet,21.15550011922058,22.402374152712778,65.54082880634446,310.0,585.0215015498676,88.7166134031831
8,Tiramisu Cake,qty,AutoARIMA,8.111184815887414,9.075585697294581,34.21738086127316,310.0,346.95804677699465,11.92195057322408
8,Tiramisu Cake,qty,AutoETS,8.152181109134787,9.109537552681347,34.359277275084835,310.0,348.3437214887559,12.368942415727702
8,Tiramisu Cake,qty,Croston,8.142585511777874,9.101490234515783,34.32613836711679,310.0,348.01939029809205,12.264319450997435
9,Butterscotch Cake,totalValue,Prophet,4159.79991402785,4342.118833983099,89.2500044605001,38161.399999999994,92238.79888236204,141.70706232570623
9,Butterscotch Cake,totalValue,AutoARIMA,3008.301605195995,3210.7629139210962,76.04269107054526,38161.399999999994,75773.58264485202,98.56080396644786
9,Butterscotch Cake,totalValue,AutoETS,2772.8088583432036,3077.719644801472,71.90457789684862,38161.399999999994,73624.12336909106,92.92825569578442
9,Butterscotch Cake,totalValue,Croston,2771.897972630674,3076.76554049988,71.89197702377678,38161.399999999994,73610.12885223489,92.89158377898846
9,Butterscotch Cake,qty,Prophet,23.503256517195616,25.583660169086837,70.90616934025628,327.0,632.542334723543,93.4380228512364
9,Butterscotch Cake,qty,AutoARIMA,33.647466788510926,35.446375885629394,86.09194195922872,327.0,764.4170682506422,133.76668753842267
9,Butterscotch Cake,qty,AutoETS,33.76222833855961,35.695547146019166,85.94138420993247,327.0,765.9089684012749,134.22292611659782
9,Butterscotch Cake,qty,Croston,32.29278645655864,34.30900874110963,83.98233405503272,327.0,746.8062239352623,128.38110823708328
10,Choco Vanilla Cake,totalValue,Prophet,1985.3631930628612,2255.712370664822,59.06250698764373,31694.89,57447.89456311233,81.25285988723208
10,Choco Vanilla Cake,totalValue,AutoARIMA,845.7269160756995,997.2770550509663,33.831785597470976,31694.89,39036.11097964369,23.162159514179375
10,Choco Vanilla Cake,totalValue,AutoETS,853.7352565111166,1003.8725018278454,34.08289759658293,31694.89,39186.489816708745,23.636617185637007
10,Choco Vanilla Cake,totalValue,Croston,1105.903535694452,1249.0967756072635,41.42167744761857,31694.89,43921.64972581805,38.576438428459774
10,Choco Vanilla Cake,qty,Prophet,7.197976843202772,9.501714404992365,48.96381602930352,254.0,182.69122126932416,-28.07432233491175
10,Choco Vanilla Cake,qty,AutoARIMA,11.898549203621238,19.05184045572188,54.69291264374721,254.0,265.59969972127993,4.5668109138897375
10,Choco Vanilla Cake,qty,AutoETS,12.84606583865152,14.334998676077166,53.420505500653746,254.0,419.5357280322343,65.17154646938359
10,Choco Vanilla Cake,qty,Croston,6.326820724086334,7.521599562796502,31.95155590785999,254.0,301.31895748151294,18.629510819493284
