#,Product Name,UY ID,Final Product SKU,KIT SKU,KIT Name,# Kit Items,Has L1 (Assembly),Has L2 (Final),Issue
122,Motichoor Tea Cake,25535,1004581,KIT108,Motichoor Tea Cake (PC) — kit,12,Y,Y,OK
123,Muffin Chocolate,6033,1002204,KIT109,Muffin Chocolate(Pc) — kit,4,Y,Y,OK
124,Muffin Red Velvet,6034,1002205,KIT110,Muffin Red Velvet(Pc) — kit,4,Y,Y,OK
125,Muffin Vanilla,6032,1002206,KIT111,Muffin Vanilla(Pc) — kit,4,Y,Y,OK
126,Multigrain Tea Cake (300 gm),6015,1000862,KIT112,Multigrain Tea Cake(Pc) (300 GM) — kit,4,Y,Y,OK
127,Nutella Bake Cheesecake Slice,4525,1000963,,,0,N,Y,NO KIT; NO L1
128,Nutella Brownie,4522,1000338,,,0,Y,Y,NO KIT
129,Nutella Hazelnut Cake (500 gm(Reg),5627,1001118,KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,11,Y,Y,OK
130,Nutella Hazelnut Jar Cake,5757,1001193,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,7,Y,Y,OK
131,Occasion special Disc,24720,1004313,,,0,N,Y,NO KIT; NO L1
132,Occasions Bento Cake,22571,1003367,KIT116,Occasions Bento Cake (CF) — kit,5,Y,Y,OK
133,Occasions Cup cakes Set of 4,24795,1004335,KIT024,Buttercream Cup cake — kit,4,Y,Y,OK
134,Opera Cake (500 gm(Reg),4377,1002370,KIT117,Opera Cake(Dr)  (500 GM) — kit,6,Y,Y,OK
135,Opera Pastry (-(Reg),5626,1000463,KIT118,Opera Pastry(Dr) — kit,6,Y,Y,OK
136,Orange Bake Cheesecake Slice,4526,1000962,,,0,N,Y,NO KIT; NO L1
137,Oreo Baked Cheesecake Slice,4527,1000918,KIT119,Oreo Bake Cheesecake Slice(Dr) — kit,1,Y,Y,OK
138,Oreo Jar Cake (Pack of 6),5721,1000124,KIT136,Sponge-Chocolate — kit,4,Y,Y,OK
139,Overloaded Choco Chip Cup Cake,6007,1002374,KIT120,Overloaded Choco Chip Cup Cake(Cf) — kit,1,Y,Y,OK
140,Peri Peri sourdough Cracker (100gm),25302,1004396,,,0,Y,Y,NO KIT
141,Pineapple Cake (500 gm),4367,1000044,KIT121,Pineapple Cake(Cf) (500 gm) — kit,4,Y,Y,OK
142,Pineapple Pastry,4354,1000109,KIT122,Pineapple Pastry(Cf) — kit,5,Y,Y,OK
143,Piping with Cream,12867,1002239,KIT123,Piping With Cream(Cf) — kit,1,Y,Y,OK
144,Pista Tres Leches (Pcs),15387,1001755,KIT125,Pista Tres Leches(Dr) — kit,8,Y,Y,OK
145,Plum Cake,14079,1002352,KIT126,Plum Cake 100 gm — kit,7,Y,Y,OK
146,Plum Cake (800 gm),14240,1003178,KIT128,Plum Cake 800 gm — kit,7,Y,Y,OK
147,Plum Cake 250 gm,14239,1002351,KIT127,Plum Cake 250 gm — kit,7,Y,Y,OK
148,Rasmalai Cake (500 gm),15344,1000393,KIT129,Rasmalai Cake(Cf) (500 gm) — kit,15,Y,Y,OK
149,Rasmalai Tres Leches,16375,1001939,KIT130,Rasmalai Tres Leches(Cf) — kit,11,Y,Y,OK
150,Red Velvet Cake (500 gm),4368,1000087,,,0,Y,Y,NO KIT
151,Red Velvet Crumb,12868,1002245,,,0,Y,Y,NO KIT
152,Red Velvet Cup Cake,6009,1000311,,,0,Y,Y,NO KIT
153,Red Velvet Jar Cake (180 ML),5723,1000126,,,0,Y,Y,NO KIT
154,Red Velvet Jar Cake (350 ml) (350 ML),11719,1000127,KIT132,Red Velvet Jar Cake (350 ml) (CF) (350 ML) — kit,4,Y,Y,OK
155,Red Velvet Pastry,4355,1000110,,,0,Y,Y,NO KIT
156,Rose Tres Leches (Pcs),15386,1001754,KIT134,Rose Tres Leches(Dr) — kit,7,Y,Y,OK
157,Round Dense Loaf Tea cake (300 gm),25190,1003185,KIT058,Dense Loaf Tea Cake(Pc) (300 GM) — kit,5,Y,Y,OK
158,Set Of 2 Choco Chip Cream Cup Cake,19616,1002561,KIT024,Buttercream Cup cake — kit,4,Y,Y,OK
159,Snicker Chocolate Cake (500 gm),4369,1000089,KIT135,Snicker Chocolate Cake(Cf)  (500 GM) — kit,4,Y,Y,OK
160,Sourdough Bread,28355,1005517,,,0,N,Y,NO KIT; NO L1
161,Stolen Bread,26869,1004965,KIT137,Stolen Bread (PC) — kit,11,Y,Y,OK
162,Strawberry Bake Cheesecake Slice,14345,1002563,,,0,N,Y,NO KIT; NO L1
163,Strawberry Bento Cake,25396,1004404,KIT138,Strawberry Bento cake (CF) — kit,4,Y,Y,OK
164,Strawberry Cheese Verrine Cup (),14399,1002257,KIT139,Strawberry Cheese Verrine Cup(Lr) — kit,8,Y,Y,OK
165,Strawberry Classic Cake (500 GM),14344,1001101,KIT140,Strawberry Classic Cake(Cf)  (500 GM) — kit,6,Y,Y,OK
166,Strawberry Classic Pastry,15426,1003364,KIT146,Strawberry classic Pastry (CF) — kit,4,Y,Y,OK
167,Strawberry Compote,13272,1001105,KIT141,Strawberry Compote(Cf) — kit,10,Y,Y,OK
168,Strawberry Jar Cake,5725,1000128,KIT142,Strawberry Jar Cake(Cf) — kit,3,Y,Y,OK
169,Strawberry Mini Dessert,26867,1004962,KIT143,Strawberry Mini Dessert (DR) — kit,6,Y,Y,OK
170,Strawberry Pastry,14341,1001540,KIT144,Strawberry Pastry(Cf) — kit,1,Y,Y,OK
171,Strawberry Velvet Cake (500 gm),14342,1001541,KIT145,Strawberry Velvet Cake(Cf) (500 GM) — kit,10,Y,Y,OK
172,Thandai Cake (500 gm),15144,1001670,KIT148,Thandai Cake(Cf)  (500 GM) — kit,9,Y,Y,OK
173,Tiramisu Cake (500 gm),4370,1000459,KIT149,Tiramisu Cake (Cf) (500 Gm) — kit,10,Y,Y,OK
174,Tiramisu Party Tub,27532,1004987,KIT150,Tiramisu Party Tub (DR) — kit,9,Y,Y,OK
175,Tiramisu Pastry Tub (Pcs),4758,1000462,KIT151,Tiramisu Pastry Tub (Cf) (PCS) — kit,10,Y,Y,OK
176,Trio Cake (500 gm(Reg),4376,1000516,KIT152,Trio Cake(Dr) — kit,10,Y,Y,OK
177,Trio Cupcake (-(Reg),5766,1000517,KIT153,Trio Cupcake(Dr) — kit,10,Y,Y,OK
178,Vanilla Blueberry Cake (500 GM),4364,1002571,KIT155,Vanilla Blueberry Cake(Cf)  (500 GM) — kit,5,Y,Y,OK
179,Vanilla Cup Cake,6008,1000314,KIT156,Vanilla Cup Cake(Cf) — kit,2,Y,Y,OK
180,Veg Club Sandwich,13305,,,,0,N,N,NO KIT; NO L1; NO L2
181,White Chocolate Disc,15348,1002360,,,0,N,Y,NO KIT; NO L1
182,Whole Wheat Multigrain Bread,28353,1005515,,,0,N,Y,NO KIT; NO L1
183,Yule Cake,20211,1002578,KIT157,Yule Cake — kit,7,Y,Y,OK
